id	x	y	dist	direct	displacement_ratio	duration	rad_avg	curvature	label	type	PCA1	PCA2
1	281167.1913882064	3967880.1504914006	111173.65493647155	24577.906473847797	0.22107671541330956	16.9167	7485.563350345101	1.1310430027954157	0	Type C (Spreading)	1.0687900167135789	-0.7330848268017973
2	281194.4198688784	3967930.8522906792	120433.74086247722	25772.250731751337	0.21399526866130117	26.3333	4813.551813966144	1.231959594149431	2	Type B (Loop)	0.377033525950076	1.0919935057217367
3	281498.361332871	3969103.3196948683	118184.24842290347	9253.135836704225	0.07829415476412183	29.9999	4663.874424620056	1.1918071954393878	2	Type B (Loop)	-0.8846891766442893	1.436483211006032
4	277943.67534417805	3965507.6733732875	141218.45417872616	28443.130421974816	0.20141227708084933	24.2916	9444.030200895897	1.04014666102698	0	Type C (Spreading)	-0.38353353277084073	-1.7730076826544479
5	280835.4275585875	3968662.585072231	147100.23350359086	26437.790075964316	0.17972636376079543	25.9166	6306.995839705638	1.044850339474651	2	Type B (Loop)	-0.4697512096322706	-0.745055198532187
6	281451.6435339806	3970083.8144937586	159895.8019626998	23175.19292310124	0.1449393457403435	29.9999	5784.294519721629	1.0012956958249182	2	Type B (Loop)	-1.2369405574291599	-0.7059020457119308
7	277378.58785625966	3968150.8875579596	129747.98456310373	25531.02705349336	0.1967739779501252	26.9166	4693.404871054188	0.997779269236712	2	Type B (Loop)	-0.0976341334101005	-0.3978957284028556
8	278792.8623467407	3968656.2714979197	104232.96644097171	7633.943157045381	0.07323923915538341	29.9999	4918.745802422474	1.1677699714222163	2	Type B (Loop)	-0.7745672774973738	1.3589938453537564
9	286308.63236721314	3970224.841393443	108821.92299755433	25418.483791013678	0.23357870446366708	25.3749	3655.237443136781	1.0377332944494606	1	Type A (Advective)	0.7050351110334488	0.1984242932193834
10	282984.60403129656	3968712.6106557376	132122.82535205025	29595.107202247156	0.2239969295493718	27.9166	4864.410457945373	1.137154868012033	2	Type B (Loop)	0.06699684412627097	0.4034069647688891
11	282010.45081417327	3968720.4118110235	118455.319842025	23246.349511543456	0.196245719842261	26.4166	4510.070200042727	1.1779677642429747	2	Type B (Loop)	0.25682598171901555	0.903751107862803
12	281955.3880371517	3969749.387383901	116796.89289382737	23380.08477013625	0.2001772837517998	26.8749	4921.786853203863	1.0102087801043929	2	Type B (Loop)	0.09337755964130318	-0.2671536929776092
13	281902.71713592234	3970591.496185853	100857.99805484826	4962.041412900156	0.04919829372581553	29.9999	4447.661557954572	1.2005015214031676	2	Type B (Loop)	-0.8274626006030547	1.8039428873091807
14	278407.7120674157	3968377.1332263243	117160.45057615297	25409.51423523223	0.21687791494721448	25.9166	5828.305907764665	1.104714164589769	2	Type B (Loop)	0.2838909751722494	-0.019498807846144328
15	281093.84679195564	3965877.7850208045	130282.0151752967	12911.723089360932	0.09910595159268902	29.9999	7299.713555199302	1.061965458799135	2	Type B (Loop)	-1.2468104941430411	-0.3454650276317135
16	286442.0165284327	3970801.2888349514	118681.98939461037	1180.5941300887448	0.009947542471363043	29.9999	1174.7576060794954	1.171858084394266	2	Type B (Loop)	-1.0659631901242248	2.5039489459031263
17	280900.7492202573	3969470.7813504823	146691.6525972956	26203.074955527667	0.17862689861066264	25.8749	6072.542245376577	1.0822073938877639	2	Type B (Loop)	-0.4168390895654072	-0.43119185654282244
18	281629.76747711515	3965714.4067267682	128373.4023270219	8311.684867670401	0.06474616016249993	29.9999	6207.709877829521	1.1497674304533256	2	Type B (Loop)	-1.2905967993787013	0.6480533306453349
19	281657.58391025645	3969498.6137820515	74201.80568278299	26461.18312602929	0.3566110404260562	12.9584	4490.262245195286	1.1484741346876968	1	Type A (Advective)	3.1516265929135368	0.07302287188851606
20	280626.96167465753	3968874.6485445206	114384.2565049534	24851.52234396318	0.2172634862813222	24.2916	6962.080828900431	1.2197750927077902	2	Type B (Loop)	0.45843305488702546	0.3346419732360201
21	283275.5671692094	3967482.761442441	130092.32020412077	13389.19167860167	0.10292069245589147	29.9999	5725.183614765761	1.0596605793365725	2	Type B (Loop)	-1.0761738698587329	0.09281129279205028
22	281578.4509978261	3966812.552173913	125419.1891723022	25956.863811371753	0.20696086446318787	19.1251	7824.742400936041	0.9966402551374824	0	Type C (Spreading)	0.4423442618755083	-1.6922022196976905
23	281425.0645367545	3964581.2264216365	121384.16087577667	12010.898496912087	0.09894947092153085	29.9999	7042.104647583077	1.1583094579517492	2	Type B (Loop)	-1.0272783361388467	0.4385754706782796
24	281088.3362108183	3971251.95110957	115788.78520233135	6388.949254621217	0.05517761710218356	29.9999	4317.6528739930145	1.1279134401451465	2	Type B (Loop)	-1.0332880916461924	1.2111100993618127
25	281415.3588085992	3964783.584951456	147196.27693254355	20006.919875148822	0.13592001300629025	29.9999	6955.188081533549	1.105430989746116	2	Type B (Loop)	-1.1517759546340496	-0.22922134676654526
26	278904.35025943397	3968685.7507861634	130434.46907258508	28777.328067824667	0.2206267121907052	26.4583	6556.801212919787	1.1437834640995386	2	Type B (Loop)	0.04788811305556756	-0.09635579883640898
27	281618.8570041609	3965473.204230236	184808.53035268362	25026.44852308928	0.1354182540996862	29.9999	7941.11748356468	0.989390541120627	2	Type B (Loop)	-1.8446498401825726	-1.6368050125942328
28	282987.76004792337	3969629.481629393	72987.92534630926	27352.836569318442	0.37475837872546924	13.0001	5022.490204838359	1.1472154554997995	1	Type A (Advective)	3.2412204524442623	-0.12430580948744586
